Artist,Album,Listed,Spotify URL,Spotify Streamable,Rdio URL,Rdio Streamable
Nels Cline,Dirty Baby,1,spotify:album:2SmxomrcX9wKz3kAKr0ZIS,True,http://rdio.com/artist/Nels_Cline/album/Dirty_Baby/,True
Konono No 1,Assume Crash Position,1,,False,http://rdio.com/artist/Konono_No.1/album/Assume_Crash_Position/,False
Grimes,HALFAXA,1,,False,,False
John Wesley III Coleman,Bad Lady Goes to Jail,1,,False,,False
The Budos Band,The Budos Band II,1,spotify:album:2PyAWypBTwo6Hz9lbsjP4H,True,http://rdio.com/artist/The_Budos_Band/album/The_Budos_Band_II_1/,True
Walls Of Jericho,The American Dream,1,,False,http://rdio.com/artist/Walls_Of_Jericho/album/The_American_Dream_1/,True
Shed,THE TRAVELER,1,,False,,False
Bon Jovi,Keep the Faith,1,,False,,False
FRANK (JUST FRANK),THE BRUTAL WAVE,1,,False,,False
Octopus Project,Golden Beds Ep,1,,False,,False
Corb Lund,Losin' Lately Gambler,1,spotify:album:4eioUdtexOhg96zcjOCSkT,True,http://rdio.com/artist/Corb_Lund/album/Losin%27_Lately_Gambler/,True
Jean Michel Pilc,True Story,1,,False,http://rdio.com/artist/Jean-Michel_Pilc%2C_Billy_Hart%2C_Boris_Koslov/album/True_Story/,False
We Barbarians,Thereâs This Thereâs That,1,,False,,False
Frankel,Anonymity Is the New Fame,1,,False,,False
Kings Go Forth,The Outsiders Are Back,1,spotify:album:5xwTeMse6vp1BDnQzairMH,True,http://rdio.com/artist/Kings_Go_Forth/album/The_Outsiders_Are_Back/,True
PEARL JAM,Backspacer,1,,False,http://rdio.com/artist/Pearl_Jam/album/Backspacer/,False
First Aid Kit,Big Black & the Blue,1,,False,,False
KTL,KTL 2,1,,False,,False
DIRTY PROJECTORS,Bitte Orca,1,,False,http://rdio.com/artist/Dirty_Projectors/album/Bitte_Orca/,True
Simon & Garfunkel,Bridge over Troubled Water,1,,False,,False
